id,x,y
vv_1AL,-1300.4015,-634.052
vv_1AK,-1300.4015,-634.052
vv_4K,-1300.4015,-634.052
vv_5K,-1300.4015,-634.052
vv_5L,-1300.4015,-634.052
vv_6,-769.07143,-92.780676
vv_OBB524,-1300.4015,-634.052
vv_10,-769.07143,-92.780676
vv_11,-769.07143,-92.780676
vv_11B,-1300.4015,-634.052
vv_12,-769.07143,-92.780676
vv_14,-769.07143,-92.780676
vv_15,-769.07143,-92.780676
vv_18,-769.07143,-92.780676
vv_20L,-1300.4015,-634.052
vv_20M,-1300.4015,-634.052
vv_20N,-1300.4015,-634.052
vv_20O,-1300.4015,-634.052
vv_20P,-1300.4015,-634.052
vv_20Q,-1300.4015,-634.052
vv_22,-769.07143,-92.780676
vv_23,-769.07143,-92.780676
vv_24,-769.07143,-92.780676
vv_25K,-1300.4015,-634.052
vv_26L,-1300.4015,-634.052
vv_26K,-1300.4015,-634.052
vv_27,-1200.4015,-92.780676
vv_29,-1200.4015,-92.780676
vv_30M,-1300.4015,-634.052
vv_35,-1200.4015,-92.780676
vv_36,-1200.4015,-92.780676
vv_37,-1200.4015,-92.780676
vv_37K,-1300.4015,-634.052
vv_38,-1200.4015,-92.780676
vv_39,-1300.4015,-634.052
vv_39K,-1300.4015,-634.052
vv_39B,-1300.4015,-634.052
vv_43,-1200.4015,-92.780676
vv_46,-1200.4015,-92.780676
vv_47,-1200.4015,-92.780676
vv_48,-1200.4015,-92.780676
vv_50,-1200.4015,-92.780676
vv_50K,-1300.4015,-634.052
vv_61,-1200.4015,-92.780676
vv_62,-1200.4015,-92.780676
vv_62A,-1300.4015,-634.052
vv_64,-1200.4015,-92.780676
vv_65,-1200.4015,-92.780676
vv_ZSR70,-1300.4015,-634.052
vv_71,-1200.4015,-92.780676
vv_76,-1200.4015,-92.780676
vv_ZSR78L,-1300.4015,-634.052
vv_77,-1200.4015,-92.780676
vv_80S,-1300.4015,-634.052
vv_80Q,-1300.4015,-634.052
vv_80U,-1300.4015,-634.052
vv_81M,-1300.4015,-634.052
vv_82,-1200.4015,-92.780676
vv_84,-1200.4015,-92.780676
vv_83,-1200.4015,-92.780676
vv_85,-1200.4015,-92.780676
vv_86,-1200.4015,-92.780676
vv_89,-1200.4015,-92.780676
vv_92A,-1200.4015,-92.780676
vv_93,-1300.4015,-634.052
vv_94L,-1300.4015,-634.052
vv_95,-1200.4015,-92.780676
vv_98,-1200.4015,-92.780676
vv_102,-1200.4015,-92.780676
vv_103,-1200.4015,-92.780676
vv_106,-1200.4015,-92.780676
vv_107,-1200.4015,-92.780676
vv_108,-1200.4015,-92.780676
vv_109,-1200.4015,-92.780676
vv_110,-1200.4015,-92.780676
vv_111,-1200.4015,-92.780676
vv_112,-1200.4015,-92.780676
vv_113,-1200.4015,-92.780676
vv_114,-1200.4015,-92.780676
vv_116,-1200.4015,-92.780676
vv_117,-1200.4015,-92.780676
vv_118,-1200.4015,-92.780676
vv_119,-1200.4015,-92.780676
vv_120A,-1200.4015,-92.780676
vv_121,-1200.4015,-92.780676
vv_125,-1200.4015,-92.780676
vv_126,-1200.4015,-92.780676
vv_127,-1200.4015,-92.780676
vv_128B,-1200.4015,-92.780676
vv_128,-1200.4015,-92.780676
vv_129,-1200.4015,-92.780676
vv_130,-1200.4015,-92.780676
vv_130B,-1200.4015,-92.780676
vv_142,-1200.4015,-92.780676
vv_145,-1200.4015,-92.780676
vv_146,-1200.4015,-92.780676
vv_147,-1200.4015,-92.780676
vv_148,-1200.4015,-92.780676
vv_149,-1200.4015,-92.780676
vv_151,-1200.4015,-92.780676
vv_152,-1200.4015,-92.780676
vv_153,-1200.4015,-92.780676
vv_154,-1200.4015,-92.780676
vv_154K,-1300.4015,-634.052
vv_154M,-1300.4015,-634.052
vv_155,-1200.4015,-92.780676
vv_250,-1300.4015,-634.052
vv_251,-1300.4015,-634.052
vv_253,-1300.4015,-634.052
vv_253a,-1300.4015,-634.052
vv_KaNa,-1300.4015,-634.052
